f_property_type,f_neighbourhood_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_baking_sheet,d_bathtub,d_bed_linens,d_bidet,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_coffee_machine,d_have_gril,d_free_parking_on_premises,d_free_parking_on_street,d_paid_parking_on_premises,d_paid_parking_off_premises,d_wifi,d_have_cable,d_have_tv,d_have_sound_system,d_shampoo_toiletries,d_have_washerdryer,d_have_iron,d_have_heating,d_have_air_condfan,d_balcony,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_family_friendly,d_have_fireplace,d_have_clothing_storage,d_f_property_type,d_host_is_superhost,d_host_identity_verified,price,id,property_type,flag_f_neighbourhood_cleansed,flag_days_sincelast,flag_review_scores_rating,flag_reviews_per_month,f_bathrooms,ln_bed,f_beds,f_bedrooms,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
condo,LORETO,2,1,1,1,4.85,14,0.49,2,129,451,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,condo,1,1,50,36330002,condo,0,0,0,0,1,0,1,2,3,2,1
condo,ISOLA,4,1,2,2,4.82,0,0.71,5,174,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,condo,0,1,200,36479285,condo,0,1,1,1,1,0.6931471805599453,2,2,3,1,2
loft,SCALO ROMANA,2,1,1,1,3.6,5,0.17,2,0,869,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,loft,0,1,30,36506107,loft,0,0,0,0,1,0,1,2,2,2,1
condo,PARCO SEMPIONE,2,1,1,1,4.86,29,1.05,3,25,9,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,condo,0,0,66,36610816,condo,0,0,0,0,1,0,1,2,3,2,1
condo,CITTA' STUDI,4,1,1,3,4.5,12,0.42,1,0,834,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,condo,0,1,40,36616712,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
loft,PADOVA,4,1,1,1,4.82,0,0.71,30,0,59,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,50,36632658,loft,0,1,1,1,1,0,1,2,3,1,3
loft,GARIBALDI REPUBBLICA,6,2,1,4,4.75,4,0.14,1,107,148,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,loft,0,1,143,36650576,loft,0,0,0,0,2,1.3862943611198906,3,2,3,2,1
condo,TIBALDI,4,1,2,3,4.82,0,0.71,2,209,59,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,condo,0,1,200,36751996,condo,0,1,1,1,1,1.0986122886681098,3,2,3,1,1
loft,BUENOS AIRES - VENEZIA,4,1,1,2,4.92,12,0.5,2,129,17,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,loft,0,1,80,36752729,loft,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,LORETO,2,1.5,1,1,5,7,0.27,1,178,51,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,loft,0,1,85,36769369,loft,0,0,0,0,1,0,1,2,3,2,1
